season,team_raw,franchise,manager
2018,2 Gurleys 1 Kupp,2 Gurleys 1 Kupp,
2019,2 Gurleys 1 Kupp,2 Gurleys 1 Kupp,
2021,80% Mental 40% Ph...,80% Mental 40% Ph...,
2017,All up to Luck,All up to Luck,
2018,All up to Luck,All up to Luck,
2019,All up to Luck,All up to Luck,
2020,All up to Luck,All up to Luck,
2021,All up to Luck,All up to Luck,
2022,All up to Luck,All up to Luck,
2023,All up to Luck,All up to Luck,
2024,All up to Luck,All up to Luck,
2025,All up to Luck,All up to Luck,
2026,All up to Luck,All up to Luck,
2017,Banks,Banks,
2018,Banks,Banks,
2019,Banks,Banks,
2020,Banks,Banks,
2021,Banks,Banks,
2022,Banks,Banks,
2023,Banks,Banks,
2024,Banks,Banks,
2025,Banks,Banks,
2026,Banks,Banks,
2020,BigBitchMitch,BigBitchMitch,
2021,BigBitchMitch,BigBitchMitch,
2022,BigBitchMitch,BigBitchMitch,
2018,Can't Hyde My Chubby,Can't Hyde My Chubby,
2019,Can't Hyde My Chubby,Can't Hyde My Chubby,
2020,Can't Hyde My Chubby,Can't Hyde My Chubby,
2017,Chad U of LA Mermen,Chad U of LA Mermen,
2025,Cops and Rodgers,Cops and Rodgers,
2026,Cops and Rodgers,Cops and Rodgers,
2017,Daniel's Dandy Team,Daniel's Dandy Team,
2018,Daniel's Dandy Team,Daniel's Dandy Team,
2019,Daniel's Dandy Team,Daniel's Dandy Team,
2020,Daniel's Dandy Team,Daniel's Dandy Team,
2021,Daniel's Dandy Team,Daniel's Dandy Team,
2022,Daniel's Dandy Team,Daniel's Dandy Team,
2023,Daniel's Dandy Team,Daniel's Dandy Team,
2024,Daniel's Dandy Team,Daniel's Dandy Team,
2025,Daniel's Dandy Team,Daniel's Dandy Team,
2026,Daniel's Dandy Team,Daniel's Dandy Team,
2024,Get into my Van J...,Get into my Van J...,
2017,Guano Loco,Guano Loco,
2018,Guano Loco,Guano Loco,
2019,Guano Loco,Guano Loco,
2020,Guano Loco,Guano Loco,
2021,Guano Loco,Guano Loco,
2022,Guano Loco,Guano Loco,
2017,Hank Baskett of Depl,Hank Baskett of Depl,
2025,Injured Reserve,Injured Reserve,
2026,Injured Reserve,Injured Reserve,
2017,Ja'Chizz Rogers,Ja'Chizz Rogers,
2018,Ja'Chizz Rogers,Ja'Chizz Rogers,
2019,Ja'Chizz Rogers,Ja'Chizz Rogers,
2020,Ja'Chizz Rogers,Ja'Chizz Rogers,
2021,Ja'Chizz Rogers,Ja'Chizz Rogers,
2022,Ja'Chizz Rogers,Ja'Chizz Rogers,
2025,Jachizz Rogers,Ja'Chizz Rogers,
2026,Jachizz Rogers,Ja'Chizz Rogers,
2021,Jake Jortles Joncos!,Jake Jortles Joncos!,
2017,Jamie's Team,Jamie's Team,
2018,Jamie's Team,Jamie's Team,
2019,Jamie's Team,Jamie's Team,
2020,Jamie's Team,Jamie's Team,
2021,Jamie's Team,Jamie's Team,
2022,Jamie's Team,Jamie's Team,
2023,Jamie's Team,Jamie's Team,
2024,Jamie's Team,Jamie's Team,
2025,Jamie's Team,Jamie's Team,
2026,Jamie's Team,Jamie's Team,
2023,Johnny Football Face,Johnny Football Face,
2024,Johnny Football Face,Johnny Football Face,
2017,Kempton's Alt Right,Kempton's Alt Right,
2018,Kempton's Alt Right,Kempton's Alt Right,
2019,Kempton's Alt Right,Kempton's Alt Right,
2020,Kempton's Alt Right,Kempton's Alt Right,
2021,Kempton's Alt Right,Kempton's Alt Right,
2022,Kempton's Alt Right,Kempton's Alt Right,
2023,Kempton's Alt Right,Kempton's Alt Right,
2024,Kempton's Alt Right,Kempton's Alt Right,
2025,Kempton's Alt Right,Kempton's Alt Right,
2026,Kempton's Alt Right,Kempton's Alt Right,
2018,LargeRichardNicholas,LargeRichardNicholas,
2019,LargeRichardNicholas,LargeRichardNicholas,
2019,Lev Bell's Room...,Lev Bell's Roommates,
2020,Lev Bell's Room...,Lev Bell's Roommates,
2021,Lev Bell's Room...,Lev Bell's Roommates,
2022,Lev Bell's Room...,Lev Bell's Roommates,
2023,Lev Bell's Room...,Lev Bell's Roommates,
2024,Lev Bell's Room...,Lev Bell's Roommates,
2025,Lev Bell's Roommates,Lev Bell's Roommates,
2026,Lev Bell's Roommates,Lev Bell's Roommates,
2023,McWitness,McWitness,
2024,My Dixie Wrecked,My Dixie Wrecked,
2022,Pooky and the Pum...,Pooky and the Pumpkin Pounders,
2023,Pooky and the Pum...,Pooky and the Pumpkin Pounders,
2024,Pooky and the Pum...,Pooky and the Pumpkin Pounders,
2025,Pooky and the Pumpkin Pounders,Pooky and the Pumpkin Pounders,
2026,Pooky and the Pumpkin Pounders,Pooky and the Pumpkin Pounders,
2017,SN2 Reaction,SN2 Reaction,
2018,SN2 Reaction,SN2 Reaction,
2019,SN2 Reaction,SN2 Reaction,
2017,Seattle Stoners,Seattle Stoners,
2024,Sir Phobos,Sir Phobos,
2025,Sir Phobos,Sir Phobos,
2026,Sir Phobos,Sir Phobos,
2023,Squint Against th...,Squint Against th...,
2023,Stars and Scrubs,Stars and Scrubs,
2024,Stars and Scrubs,Stars and Scrubs,
2025,Stars and Scrubs,Stars and Scrubs,
2026,Stars and Scrubs,Stars and Scrubs,
2018,TBA,TBA,
2021,The Pain Starts Here,The Pain Starts Here,
2022,The Pain Starts Here,The Pain Starts Here,
2023,The Pain Starts Here,The Pain Starts Here,
2017,The Running Man,The Running Man,
2022,The more you Joe!,The more you Joe!,
