rank,cost,player,position,fantasy_team,source
1,68,Ja'Marr Chase,WR,Sir Phobos,actual
2,66,Saquon Barkley,RB,Injured Reserve,actual
3,62,Bijan Robinson,RB,Stars and Scrubs,actual
4,61,Jahmyr Gibbs,RB,Kempton's Alt Right,actual
5,57,Amon-Ra St. Brown,WR,Stars and Scrubs,actual
6,52,Justin Jefferson,WR,Cops and Rodgers,actual
7,52,CeeDee Lamb,WR,Cops and Rodgers,actual
8,50,Christian McCaffrey,RB,All up to Luck,actual
9,50,Derrick Henry,RB,Kempton's Alt Right,actual
10,49,Malik Nabers,WR,Daniel's Dandy Team,estimated
11,47,Puka Nacua,WR,Jachizz Rogers,actual
12,44,Brian Thomas Jr.,WR,All up to Luck,actual
13,44,Josh Jacobs,RB,Banks,actual
14,43,Ashton Jeanty,RB,Jamie's Team,actual
15,43,De'Von Achane,RB,Daniel's Dandy Team,actual
16,40,Nico Collins,WR,Lev Bell’s Roommates,actual
17,40,Jonathan Taylor,RB,Cops and Rodgers,actual
18,38,A.J. Brown,WR,Injured Reserve,actual
19,38,Josh Allen,QB,Lev Bell’s Roommates,actual
20,36,Brock Bowers,TE,Banks,actual
21,35,Lamar Jackson,QB,Banks,actual
22,34,Drake London,WR,All up to Luck,actual
23,33,Bucky Irving,RB,Jachizz Rogers,actual
24,33,Chase Brown,RB,Lev Bell’s Roommates,actual
25,32,Kyren Williams,RB,Pooky and the Pumpkin Pounders,actual
26,31,Ladd McConkey,WR,Lev Bell’s Roommates,actual
27,30,Trey McBride,TE,Jachizz Rogers,actual
28,28,James Cook III,RB,Pooky and the Pumpkin Pounders,actual
29,27,Tee Higgins,WR,Jachizz Rogers,actual
30,27,Terry McLaurin,WR,Banks,actual
31,27,George Kittle,TE,Injured Reserve,actual
32,27,Mike Evans,WR,Kempton's Alt Right,actual
33,26,Jalen Hurts,QB,Jachizz Rogers,actual
34,26,Jaxon Smith-Njigba,WR,Pooky and the Pumpkin Pounders,actual
35,26,Alvin Kamara,RB,All up to Luck,actual
36,25,Jayden Daniels,QB,Jamie's Team,actual
37,24,TreVeyon Henderson,RB,Jamie's Team,actual
38,24,Marvin Harrison Jr.,WR,Cops and Rodgers,actual
39,23,Omarion Hampton,RB,Lev Bell’s Roommates,actual
40,23,James Conner,RB,Injured Reserve,estimated
41,22,Tyreek Hill,WR,Pooky and the Pumpkin Pounders,estimated
42,21,Breece Hall,RB,Pooky and the Pumpkin Pounders,actual
43,21,Travis Hunter,WR,Jamie's Team,estimated
44,20,Garrett Wilson,WR,Pooky and the Pumpkin Pounders,actual
45,20,Chuba Hubbard,RB,Sir Phobos,actual
46,20,Kenneth Walker III,RB,Jamie's Team,actual
47,20,Evan Engram,TE,Sir Phobos,estimated
48,19,Joe Burrow,QB,Stars and Scrubs,actual
49,18,Davante Adams,WR,Daniel's Dandy Team,actual
50,18,DeVonta Smith,WR,Banks,actual
51,17,DK Metcalf,WR,Injured Reserve,actual
52,17,Sam LaPorta,TE,Sir Phobos,actual
53,16,Xavier Worthy,WR,Stars and Scrubs,actual
54,16,DJ Moore,WR,Pooky and the Pumpkin Pounders,actual
55,16,Zay Flowers,WR,Kempton's Alt Right,actual
56,16,George Pickens,WR,Jamie's Team,actual
57,14,Calvin Ridley,WR,Jachizz Rogers,estimated
58,14,Jameson Williams,WR,Daniel's Dandy Team,actual
59,14,Patrick Mahomes,QB,Daniel's Dandy Team,estimated
60,14,Tony Pollard,RB,Banks,actual
61,14,Aaron Jones Sr.,RB,Sir Phobos,actual
62,13,Tyrone Tracy Jr.,RB,Daniel's Dandy Team,actual
63,12,D'Andre Swift,RB,Cops and Rodgers,actual
64,12,Courtland Sutton,WR,Lev Bell’s Roommates,actual
65,12,Jerry Jeudy,WR,Sir Phobos,actual
66,12,Rachaad White,RB,Pooky and the Pumpkin Pounders,actual
67,11,Tetairoa McMillan,WR,Jamie's Team,actual
68,11,Rome Odunze,WR,Sir Phobos,actual
69,11,T.J. Hockenson,TE,All up to Luck,estimated
70,11,Chris Olave,WR,Daniel's Dandy Team,actual
71,11,Travis Kelce,TE,Daniel's Dandy Team,actual
72,10,Jaylen Waddle,WR,Kempton's Alt Right,actual
73,10,Isiah Pacheco,RB,Jachizz Rogers,actual
74,10,Travis Etienne Jr.,RB,Jamie's Team,actual
75,8,RJ Harvey,RB,Stars and Scrubs,actual
76,8,Matthew Golden,WR,Jamie's Team,actual
77,8,Ricky Pearsall,WR,Stars and Scrubs,actual
78,8,Stefon Diggs,WR,All up to Luck,actual
79,8,Jaylen Warren,RB,Stars and Scrubs,actual
80,8,Mark Andrews,TE,Lev Bell’s Roommates,actual
81,8,Deebo Samuel Sr.,WR,All up to Luck,actual
82,7,Bo Nix,QB,Sir Phobos,actual
83,7,Kaleb Johnson,RB,Daniel's Dandy Team,estimated
84,7,Jordan Addison,WR,Stars and Scrubs,actual
85,7,Braelon Allen,RB,Sir Phobos,estimated
86,6,David Montgomery,RB,Kempton's Alt Right,actual
87,6,Joe Mixon,RB,Sir Phobos,estimated
88,5,Rashee Rice,WR,Jamie's Team,actual
89,5,Jakobi Meyers,WR,Sir Phobos,actual
90,5,Emeka Egbuka,WR,Jamie's Team,actual
91,5,David Njoku,TE,Stars and Scrubs,estimated
92,5,Kyler Murray,QB,Kempton's Alt Right,estimated
93,5,Brock Purdy,QB,Sir Phobos,actual
94,5,Austin Ekeler,RB,Kempton's Alt Right,estimated
95,5,J.K. Dobbins,RB,Pooky and the Pumpkin Pounders,estimated
96,5,Rhamondre Stevenson,RB,Banks,actual
97,5,Cooper Kupp,WR,Banks,actual
98,5,Justin Herbert,QB,All up to Luck,actual
99,5,Keenan Allen,WR,Banks,actual
100,5,Tyler Warren,TE,Jamie's Team,actual
101,5,Tank Bigsby,RB,Daniel's Dandy Team,estimated
102,5,Zach Charbonnet,RB,Kempton's Alt Right,actual
103,5,Nick Chubb,RB,Injured Reserve,actual
104,5,Jordan Love,QB,Pooky and the Pumpkin Pounders,actual
105,5,Broncos,DEF,Daniel's Dandy Team,actual
106,4,Baker Mayfield,QB,Cops and Rodgers,actual
107,4,Michael Pittman Jr.,WR,Lev Bell’s Roommates,actual
108,4,Jauan Jennings,WR,Kempton's Alt Right,actual
109,4,Keon Coleman,WR,Kempton's Alt Right,estimated
110,4,Dak Prescott,QB,Injured Reserve,actual
