season,player_id,player_name,position,nfl_team,espn_rank,espn_rank_type,espn_ppr_rank,espn_sf_auction,adp,percent_owned,projected
2026,3918298,Josh Allen,QB,BUF,1,SUPERFLEX,26,59,19.0,99.9,370.0
2026,4426348,Jayden Daniels,QB,WSH,3,SUPERFLEX,56,58,52.5,99.0,317.0
2026,3916387,Lamar Jackson,QB,BAL,5,SUPERFLEX,44,58,33.2,99.8,322.5
2026,4429795,Jahmyr Gibbs,RB,DET,7,SUPERFLEX,1,57,1.3,99.9,369.1
2026,4430807,Bijan Robinson,RB,ATL,8,SUPERFLEX,2,57,2.4,99.9,352.4
2026,4362628,Ja'Marr Chase,WR,CIN,9,SUPERFLEX,3,55,4.2,99.9,336.9
2026,4426515,Puka Nacua,WR,LAR,10,SUPERFLEX,4,53,5.3,99.9,353.6
2026,4430878,Jaxon Smith-Njigba,WR,SEA,11,SUPERFLEX,6,51,6.4,99.9,326.7
2026,3117251,Christian McCaffrey,RB,SF,12,SUPERFLEX,7,49,7.7,99.9,341.5
2026,4431452,Drake Maye,QB,NE,13,SUPERFLEX,58,48,46.5,99.4,319.8
2026,4040715,Jalen Hurts,QB,PHI,15,SUPERFLEX,73,46,53.9,98.5,319.8
2026,4242335,Jonathan Taylor,RB,IND,17,SUPERFLEX,5,44,6.2,99.9,315.9
2026,4374302,Amon-Ra St. Brown,WR,DET,18,SUPERFLEX,8,43,8.5,99.9,324.0
2026,4241389,CeeDee Lamb,WR,DAL,19,SUPERFLEX,10,42,11.6,99.9,293.6
2026,4429160,De'Von Achane,RB,MIA,20,SUPERFLEX,12,41,13.3,99.9,293.2
2026,3915511,Joe Burrow,QB,CIN,21,SUPERFLEX,70,40,52.8,98.2,304.3
2026,4689114,Jaxson Dart,QB,NYG,23,SUPERFLEX,91,38,81.9,94.3,299.5
2026,4379399,James Cook III,RB,BUF,25,SUPERFLEX,9,37,10.1,99.9,280.0
2026,4262921,Justin Jefferson,WR,MIN,26,SUPERFLEX,11,36,12.3,99.9,293.9
2026,4426502,Drake London,WR,ATL,27,SUPERFLEX,18,35,20.8,99.8,269.5
2026,4361307,Trey McBride,TE,ARI,28,SUPERFLEX,21,34,23.5,99.9,241.6
2026,4870808,Jeremiyah Love,RB,ARI,29,SUPERFLEX,19,33,25.2,99.4,276.5
2026,4428331,Rashee Rice,WR,KC,30,SUPERFLEX,25,32,29.2,99.5,259.3
2026,4258173,Nico Collins,WR,HOU,31,SUPERFLEX,23,32,25.9,99.7,248.2
2026,4360310,Trevor Lawrence,QB,JAX,32,SUPERFLEX,114,31,103.6,88.7,289.5
2026,2577417,Dak Prescott,QB,DAL,34,SUPERFLEX,85,30,71.8,94.1,286.1
2026,4426338,Bo Nix,QB,DEN,36,SUPERFLEX,138,30,104.1,88.8,295.7
2026,3929630,Saquon Barkley,RB,PHI,38,SUPERFLEX,15,29,14.1,99.9,273.3
2026,3043078,Derrick Henry,RB,BAL,39,SUPERFLEX,16,28,16.5,99.8,277.8
2026,4890973,Ashton Jeanty,RB,LV,40,SUPERFLEX,17,26,21.6,99.7,278.9
2026,4567048,Kenneth Walker III,RB,KC,41,SUPERFLEX,28,26,24.3,99.6,273.1
2026,4432665,Brock Bowers,TE,LV,42,SUPERFLEX,22,25,23.9,99.9,240.9
2026,4361741,Brock Purdy,QB,SF,43,SUPERFLEX,119,24,108.9,85.3,291.6
2026,12483,Matthew Stafford,QB,LAR,45,SUPERFLEX,139,23,93.2,92.8,292.8
2026,4047646,A.J. Brown,WR,NE,47,SUPERFLEX,20,22,21.4,99.7,249.4
2026,4361370,Chris Olave,WR,NO,48,SUPERFLEX,24,22,29.8,99.4,249.6
2026,4595348,Malik Nabers,WR,NYG,49,SUPERFLEX,33,22,35.8,99.1,243.9
2026,4431611,Caleb Williams,QB,CHI,50,SUPERFLEX,104,21,85.0,91.8,281.0
2026,4038941,Justin Herbert,QB,LAC,52,SUPERFLEX,97,21,85.4,92.5,283.6
2026,4362238,Chase Brown,RB,CIN,54,SUPERFLEX,14,20,17.8,99.6,271.6
2026,4685382,Omarion Hampton,RB,LAC,55,SUPERFLEX,13,19,17.8,99.6,261.7
2026,4427366,Breece Hall,RB,NYJ,56,SUPERFLEX,30,19,35.7,98.8,274.1
2026,4361579,Javonte Williams,RB,DAL,57,SUPERFLEX,31,18,32.4,99.1,259.5
2026,3139477,Patrick Mahomes,QB,KC,58,SUPERFLEX,133,17,109.3,86.6,291.0
2026,4239996,Travis Etienne Jr.,RB,NO,60,SUPERFLEX,35,17,39.3,98.3,246.4
2026,4430737,Kyren Williams,RB,LAR,61,SUPERFLEX,32,15,34.6,98.8,232.0
2026,4569618,Garrett Wilson,WR,NYJ,62,SUPERFLEX,29,15,37.1,99.0,250.1
