rank,player,pos,pos_rank,source
1,Josh Allen,QB,1,espn karabell 2025-08-12
2,Lamar Jackson,QB,2,espn karabell 2025-08-12
3,Jayden Daniels,QB,3,espn karabell 2025-08-12
4,Jalen Hurts,QB,4,espn karabell 2025-08-12
5,Joe Burrow,QB,5,espn karabell 2025-08-12
6,Ja'Marr Chase,WR,1,espn karabell 2025-08-12
7,Justin Jefferson,WR,2,espn karabell 2025-08-12
8,Puka Nacua,WR,3,espn karabell 2025-08-12
9,CeeDee Lamb,WR,4,espn karabell 2025-08-12
10,Amon-Ra St. Brown,WR,5,espn karabell 2025-08-12
11,Malik Nabers,WR,6,espn karabell 2025-08-12
12,Bijan Robinson,RB,1,espn karabell 2025-08-12
13,Jahmyr Gibbs,RB,2,espn karabell 2025-08-12
14,Saquon Barkley,RB,3,espn karabell 2025-08-12
15,Derrick Henry,RB,4,espn karabell 2025-08-12
16,Patrick Mahomes,QB,6,espn karabell 2025-08-12
17,Baker Mayfield,QB,7,espn karabell 2025-08-12
18,Brock Purdy,QB,8,espn karabell 2025-08-12
19,Kyler Murray,QB,9,espn karabell 2025-08-12
20,Bo Nix,QB,10,espn karabell 2025-08-12
21,Nico Collins,WR,7,espn karabell 2025-08-12
22,Brian Thomas Jr.,WR,8,espn karabell 2025-08-12
23,A.J. Brown,WR,9,espn karabell 2025-08-12
24,Ashton Jeanty,RB,5,espn karabell 2025-08-12
25,Bucky Irving,RB,6,espn karabell 2025-08-12
26,De'Von Achane,RB,7,espn karabell 2025-08-12
27,Jonathan Taylor,RB,8,espn karabell 2025-08-12
28,Josh Jacobs,RB,9,espn karabell 2025-08-12
29,Tyreek Hill,WR,10,espn karabell 2025-08-12
30,Drake London,WR,11,espn karabell 2025-08-12
31,Tee Higgins,WR,12,espn karabell 2025-08-12
32,Caleb Williams,QB,11,espn karabell 2025-08-12
33,Justin Herbert,QB,12,espn karabell 2025-08-12
34,Justin Fields,QB,13,espn karabell 2025-08-12
35,Drake Maye,QB,14,espn karabell 2025-08-12
