rank,player,team,pos,pos_rank,source
1,Josh Allen,Bills,QB,1,espn karabell 2025-08-12 via wayback
2,Lamar Jackson,Ravens,QB,2,espn karabell 2025-08-12 via wayback
3,Jayden Daniels,Commanders,QB,3,espn karabell 2025-08-12 via wayback
4,Jalen Hurts,Eagles,QB,4,espn karabell 2025-08-12 via wayback
5,Joe Burrow,Bengals,QB,5,espn karabell 2025-08-12 via wayback
6,Ja'Marr Chase,Bengals,WR,1,espn karabell 2025-08-12 via wayback
7,Justin Jefferson,Vikings,WR,2,espn karabell 2025-08-12 via wayback
8,Puka Nacua,Rams,WR,3,espn karabell 2025-08-12 via wayback
9,CeeDee Lamb,Cowboys,WR,4,espn karabell 2025-08-12 via wayback
10,Amon-Ra St. Brown,Lions,WR,5,espn karabell 2025-08-12 via wayback
11,Malik Nabers,Giants,WR,6,espn karabell 2025-08-12 via wayback
12,Bijan Robinson,Falcons,RB,1,espn karabell 2025-08-12 via wayback
13,Jahmyr Gibbs,Lions,RB,2,espn karabell 2025-08-12 via wayback
14,Saquon Barkley,Eagles,RB,3,espn karabell 2025-08-12 via wayback
15,Derrick Henry,Ravens,RB,4,espn karabell 2025-08-12 via wayback
16,Patrick Mahomes,Chiefs,QB,6,espn karabell 2025-08-12 via wayback
17,Baker Mayfield,Buccaneers,QB,7,espn karabell 2025-08-12 via wayback
18,Brock Purdy,49ers,QB,8,espn karabell 2025-08-12 via wayback
19,Kyler Murray,Cardinals,QB,9,espn karabell 2025-08-12 via wayback
20,Bo Nix,Broncos,QB,10,espn karabell 2025-08-12 via wayback
21,Nico Collins,Texans,WR,7,espn karabell 2025-08-12 via wayback
22,Brian Thomas Jr.,Jaguars,WR,8,espn karabell 2025-08-12 via wayback
23,A.J. Brown,Eagles,WR,9,espn karabell 2025-08-12 via wayback
24,Ashton Jeanty,Raiders,RB,5,espn karabell 2025-08-12 via wayback
25,Bucky Irving,Buccaneers,RB,6,espn karabell 2025-08-12 via wayback
26,De'Von Achane,Dolphins,RB,7,espn karabell 2025-08-12 via wayback
27,Jonathan Taylor,Colts,RB,8,espn karabell 2025-08-12 via wayback
28,Josh Jacobs,Packers,RB,9,espn karabell 2025-08-12 via wayback
29,Tyreek Hill,Dolphins,WR,10,espn karabell 2025-08-12 via wayback
30,Drake London,Falcons,WR,11,espn karabell 2025-08-12 via wayback
31,Tee Higgins,Bengals,WR,12,espn karabell 2025-08-12 via wayback
32,Caleb Williams,Bears,QB,11,espn karabell 2025-08-12 via wayback
33,Justin Herbert,Chargers,QB,12,espn karabell 2025-08-12 via wayback
34,Justin Fields,Jets,QB,13,espn karabell 2025-08-12 via wayback
35,Drake Maye,Patriots,QB,14,espn karabell 2025-08-12 via wayback
36,Dak Prescott,Cowboys,QB,15,espn karabell 2025-08-12 via wayback
37,Christian McCaffrey,49ers,RB,10,espn karabell 2025-08-12 via wayback
38,Ladd McConkey,Chargers,WR,13,espn karabell 2025-08-12 via wayback
39,Davante Adams,Rams,WR,14,espn karabell 2025-08-12 via wayback
40,Jaxon Smith-Njigba,Seahawks,WR,15,espn karabell 2025-08-12 via wayback
41,Garrett Wilson,Jets,WR,16,espn karabell 2025-08-12 via wayback
42,Trey McBride,Cardinals,TE,1,espn karabell 2025-08-12 via wayback
43,Brock Bowers,Raiders,TE,2,espn karabell 2025-08-12 via wayback
44,Mike Evans,Buccaneers,WR,17,espn karabell 2025-08-12 via wayback
45,Terry McLaurin,Commanders,WR,18,espn karabell 2025-08-12 via wayback
46,Jared Goff,Lions,QB,16,espn karabell 2025-08-12 via wayback
47,J.J. McCarthy,Vikings,QB,17,espn karabell 2025-08-12 via wayback
48,Matthew Stafford,Rams,QB,18,espn karabell 2025-08-12 via wayback
49,C.J. Stroud,Texans,QB,19,espn karabell 2025-08-12 via wayback
50,Tua Tagovailoa,Dolphins,QB,20,espn karabell 2025-08-12 via wayback
51,Trevor Lawrence,Jaguars,QB,21,espn karabell 2025-08-12 via wayback
52,Jordan Love,Packers,QB,22,espn karabell 2025-08-12 via wayback
53,Chase Brown,Bengals,RB,11,espn karabell 2025-08-12 via wayback
54,Kyren Williams,Rams,RB,12,espn karabell 2025-08-12 via wayback
55,James Cook,Bills,RB,13,espn karabell 2025-08-12 via wayback
56,Kenneth Walker III,Seahawks,RB,14,espn karabell 2025-08-12 via wayback
57,Marvin Harrison Jr.,Cardinals,WR,19,espn karabell 2025-08-12 via wayback
58,DJ Moore,Bears,WR,20,espn karabell 2025-08-12 via wayback
59,DK Metcalf,Steelers,WR,21,espn karabell 2025-08-12 via wayback
60,Alvin Kamara,Saints,RB,15,espn karabell 2025-08-12 via wayback
61,Chuba Hubbard,Panthers,RB,16,espn karabell 2025-08-12 via wayback
62,Omarion Hampton,Chargers,RB,17,espn karabell 2025-08-12 via wayback
63,James Conner,Cardinals,RB,18,espn karabell 2025-08-12 via wayback
64,Breece Hall,Jets,RB,19,espn karabell 2025-08-12 via wayback
65,Michael Penix Jr.,Falcons,QB,23,espn karabell 2025-08-12 via wayback
66,Bryce Young,Panthers,QB,24,espn karabell 2025-08-12 via wayback
67,Cameron Ward,Titans,QB,25,espn karabell 2025-08-12 via wayback
68,Courtland Sutton,Broncos,WR,22,espn karabell 2025-08-12 via wayback
69,Zay Flowers,Ravens,WR,23,espn karabell 2025-08-12 via wayback
70,Calvin Ridley,Titans,WR,24,espn karabell 2025-08-12 via wayback
71,Jaylen Waddle,Dolphins,WR,25,espn karabell 2025-08-12 via wayback
72,Aaron Jones,Vikings,RB,20,espn karabell 2025-08-12 via wayback
73,David Montgomery,Lions,RB,21,espn karabell 2025-08-12 via wayback
