order	player_raw	price	team_raw
1	Christian McCaffrey (SF - RB)	54	All up to Luck
2	Jahmyr Gibbs (Det - RB)	68	Jamie's Team
3	Bijan Robinson (Atl - RB)	64	Daniel's Dandy Team
4	Kyren Williams (LAR - RB)	30	Pooky and the Pumpkin Pounders
5	Jaxon Smith-Njigba (Sea - WR)	59	Cops and Rodgers
6	Ja'Marr Chase (Cin - WR)	63	Sir Phobos
7	Puka Nacua (LAR - WR)	59	Jachizz Rogers
8	George Pickens (Dal - WR)	37	Injured Reserve
9	A.J. Brown (NE - WR)	35	Cops and Rodgers
10	MarShawn Lloyd (GB - RB)	11	Sir Phobos
11	Derrick Henry (Bal - RB)	45	Jachizz Rogers
12	Saquon Barkley (Phi - RB)	50	Injured Reserve
13	Jonathan Taylor (Ind - RB)	60	Kempton's Alt Right
14	Amon-Ra St. Brown (Det - WR)	60	Stars and Scrubs
15	CeeDee Lamb (Dal - WR)	46	Lev Bell's Roommates
16	Quinshon Judkins (Cle - RB)	22	Jachizz Rogers
17	Drake London (Atl - WR)	39	Pooky and the Pumpkin Pounders
18	James Cook III (Buf - RB)	48	Lev Bell's Roommates
19	Justin Jefferson (Min - WR)	50	All up to Luck
20	D'Andre Swift (Chi - RB)	27	Kempton's Alt Right
21	Josh Allen (Buf - QB)	31	Kempton's Alt Right
22	Kaelon Black (SF - RB)	8	Sir Phobos
23	Nico Collins (Hou - WR)	44	Daniel's Dandy Team
24	Cam Skattebo (NYG - RB)	25	Jachizz Rogers
25	Chase Brown (Cin - RB)	45	Stars and Scrubs
26	Harrison Mevis (LAR - K)	2	Daniel's Dandy Team
27	Malik Nabers (NYG - WR)	31	Injured Reserve
28	Bucky Irving (TB - RB)	19	Kempton's Alt Right
29	Ashton Jeanty (LV - RB)	40	Banks
30	Kenneth Walker III (KC - RB)	41	Lev Bell's Roommates
31	Rashee Rice (KC - WR)	32	Jachizz Rogers
32	David Montgomery (Hou - RB)	16	Kempton's Alt Right
33	DeVonta Smith (Phi - WR)	37	Pooky and the Pumpkin Pounders
34	Omarion Hampton (LAC - RB)	52	Sir Phobos
35	De'Von Achane (Mia - RB)	45	Injured Reserve
36	Josh Jacobs (GB - RB)	8	All up to Luck
37	Lamar Jackson (Bal - QB)	17	Banks
38	Brandon Aubrey (Dal - K)	4	Injured Reserve
39	Chris Olave (NO - WR)	32	Cops and Rodgers
40	Javonte Williams (Dal - RB)	32	Banks
41	Christian Watson (GB - WR)	17	All up to Luck
42	Brock Bowers (LV - TE)	38	Banks
43	Tee Higgins (Cin - WR)	31	All up to Luck
44	Terry McLaurin (Was - WR)	17	Lev Bell's Roommates
45	Dak Prescott (Dal - QB)	9	Injured Reserve
46	Quentin Johnston (LAC - WR)	13	Sir Phobos
47	Breece Hall (NYJ - RB)	28	Daniel's Dandy Team
48	Jalen Hurts (Phi - QB)	12	Sir Phobos
49	Jeremiyah Love (Ari - RB)	28	Stars and Scrubs
50	Cameron Dicker (LAC - K)	1	Jachizz Rogers
51	TreVeyon Henderson (NE - RB)	10	Cops and Rodgers
52	Travis Etienne Jr. (NO - RB)	25	Jamie's Team
