season,rank,team,wins,losses,ties,points_for,points_against,streak,waiver_budget_left,waiver_priority,moves,playoff_seed,finish
2025,1,Kempton's Alt Right,8,6,0,1402.86,1490.36,W-4,90,8,21,1,champion
2025,2,Pooky and the Pumpkin Pounders,10,4,0,1593.60,1319.58,W-3,59,11,70,2,runner_up
2025,3,Cops and Rodgers,7,7,0,1497.38,1540.20,L-2,100,6,20,3,third
2025,4,Daniel's Dandy Team,10,4,0,1521.84,1329.48,W-6,22,2,13,4,playoff
2025,5,Lev Bell's Roommates,8,6,0,1479.00,1474.62,L-3,80,9,14,5,playoff
2025,6,Jamie's Team,10,4,0,1510.96,1447.32,L-1,47,3,26,6,playoff
2025,7,All up to Luck,7,7,0,1406.52,1386.98,L-3,34,10,24,,missed
2025,8,Injured Reserve,6,8,0,1307.84,1359.24,W-2,53,1,15,,missed
2025,9,Stars and Scrubs,5,9,0,1417.68,1417.96,W-3,3,12,37,,missed
2025,10,Banks,5,9,0,1301.80,1425.80,W-1,96,7,16,,missed
2025,11,Jachizz Rogers,4,10,0,1387.70,1437.58,L-3,25,4,26,,missed
2025,12,Sir Phobos,4,10,0,1224.04,1422.10,L-7,70,5,16,,missed
