season,player_name,position,nfl_team,pos_adp,adp,prev_adp,adp_delta
2026,Jahmyr Gibbs,RB,DET,RB1,1.1,1.1,0.0
2026,Bijan Robinson,RB,ATL,RB2,2.0,2.0,0.0
2026,Ja'Marr Chase,WR,CIN,WR1,3.0,3.1,0.1
2026,Puka Nacua,WR,LAR,WR2,4.2,4.0,-0.2
2026,Jaxon Smith-Njigba,WR,SEA,WR3,5.5,5.5,0.0
2026,Christian McCaffrey,RB,SF,RB3,6.2,6.1,-0.1
2026,Amon-Ra St. Brown,WR,DET,WR4,7.1,7.1,0.0
2026,Jonathan Taylor,RB,IND,RB4,7.9,8.0,0.1
2026,CeeDee Lamb,WR,DAL,WR5,9.8,9.6,-0.2
2026,James Cook,RB,BUF,RB5,10.1,11.1,1.0
2026,Justin Jefferson,WR,MIN,WR6,11.0,10.4,-0.6
2026,Ashton Jeanty,RB,LV,RB6,12.0,11.8,-0.2
2026,Saquon Barkley,RB,PHI,RB7,13.7,13.6,-0.1
2026,Kenneth Walker III,RB,KC,RB8,14.5,15.1,0.6
2026,Chase Brown,RB,CIN,RB9,14.9,15.6,0.7
2026,Omarion Hampton,RB,LAC,RB10,16.3,14.6,-1.7
2026,Derrick Henry,RB,BAL,RB11,17.2,17.3,0.1
2026,De'Von Achane,RB,MIA,RB12,17.5,18.3,0.8
2026,A.J. Brown,WR,NE,WR7,18.8,18.7,-0.1
2026,Brock Bowers,TE,LV,TE1,19.9,19.6,-0.3
2026,Drake London,WR,ATL,WR8,21.3,21.1,-0.2
2026,Nico Collins,WR,HOU,WR9,22.9,22.7,-0.2
2026,George Pickens,WR,DAL,WR10,23.2,23.5,0.3
2026,Malik Nabers,WR,NYG,WR11,24.1,25.9,1.8
2026,Rashee Rice,WR,KC,WR12,26.2,25.1,-1.1
2026,Jeremiyah Love,RB,ARI,RB13,26.6,26.9,0.3
2026,DeVonta Smith,WR,PHI,WR13,27.6,27.5,-0.1
2026,Breece Hall,RB,NYJ,RB14,28.4,29.6,1.2
2026,Trey McBride,TE,ARI,TE2,29.8,29.1,-0.7
2026,Zay Flowers,WR,BAL,WR14,30.5,30.1,-0.4
2026,Emeka Egbuka,WR,TB,WR15,31.2,31.5,0.3
2026,Chris Olave,WR,NO,WR16,31.3,30.3,-1.0
2026,Kyren Williams,RB,LAR,RB15,32.3,32.6,0.3
2026,Ladd McConkey,WR,LAC,WR17,34.0,34.7,0.7
2026,Tee Higgins,WR,CIN,WR18,34.9,34.2,-0.7
2026,Javonte Williams,RB,DAL,RB16,35.0,36.2,1.2
2026,Josh Allen,QB,BUF,QB1,36.6,36.0,-0.6
2026,Jaylen Waddle,WR,DEN,WR19,38.4,39.0,0.6
2026,Tetairoa McMillan,WR,CAR,WR20,39.5,39.0,-0.5
2026,Garrett Wilson,WR,NYJ,WR21,39.8,40.1,0.3
2026,Josh Jacobs,RB,GB,RB17,41.3,41.1,-0.2
2026,Travis Etienne Jr.,RB,NO,RB18,42.2,41.4,-0.8
2026,Cam Skattebo,RB,NYG,RB19,43.6,43.4,-0.2
2026,Colston Loveland,TE,CHI,TE3,43.9,45.8,1.9
2026,Luther Burden,WR,CHI,WR22,45.9,43.2,-2.7
2026,Terry McLaurin,WR,WAS,WR23,47.1,44.9,-2.2
2026,David Montgomery,RB,HOU,RB20,47.4,48.5,1.1
2026,D'Andre Swift,RB,CHI,RB21,47.8,49.6,1.8
2026,Mike Evans,WR,SF,WR24,49.2,48.2,-1.0
2026,Bhayshul Tuten,RB,JAX,RB22,50.8,49.7,-1.1
2026,Davante Adams,WR,LAR,WR25,51.7,51.3,-0.4
2026,Jameson Williams,WR,DET,WR26,51.8,52.1,0.3
2026,Quinshon Judkins,RB,CLE,RB23,52.8,53.7,0.9
2026,Bucky Irving,RB,TB,RB24,54.2,55.5,1.3
2026,D.J. Moore,WR,BUF,WR27,54.7,55.8,1.1
2026,TreVeyon Henderson,RB,NE,RB25,56.7,53.9,-2.8
2026,Lamar Jackson,QB,BAL,QB2,56.8,55.4,-1.4
2026,Christian Watson,WR,GB,WR28,57.5,57.3,-0.2
2026,Rome Odunze,WR,CHI,WR29,58.3,59.9,1.6
2026,Parker Washington,WR,JAX,WR30,58.9,62.5,3.6
2026,Carnell Tate,WR,TEN,WR31,60.7,59.5,-1.2
2026,Jadarian Price,RB,SEA,RB26,62.2,62.2,0.0
2026,Tyler Warren,TE,IND,TE4,62.6,64.1,1.5
2026,Jordyn Tyson,WR,NO,WR32,63.9,64.1,0.2
2026,Brian Thomas,WR,JAX,WR33,64.6,62.5,-2.1
2026,Drake Maye,QB,NE,QB3,67.2,66.9,-0.3
2026,Joe Burrow,QB,CIN,QB4,68.7,68.6,-0.1
