season,vegas_rank,team,nickname,pts_per_game,playoff_pts,week_15,week_16,week_17,fetched_at
2026,1,LA,Rams,26.7,79.0,29.5,23.0,26.5,2026-08-11
2026,2,BUF,Bills,26.1,79.0,27.5,24.0,27.5,2026-08-11
2026,3,DET,Lions,26.1,75.0,24.0,27.0,24.0,2026-08-11
2026,4,BAL,Ravens,26.0,76.3,24.0,27.3,25.0,2026-08-11
2026,5,CIN,Bengals,26.0,78.5,25.0,27.0,26.5,2026-08-11
2026,6,DAL,Cowboys,25.7,77.0,23.0,27.0,27.0,2026-08-11
2026,7,SF,49ers,25.1,68.0,22.5,22.0,23.5,2026-08-11
2026,8,GB,Packers,24.9,73.5,28.0,23.0,22.5,2026-08-11
2026,9,SEA,Seahawks,24.8,69.5,21.0,24.5,24.0,2026-08-11
2026,10,CHI,Bears,24.5,74.0,24.0,24.5,25.5,2026-08-11
2026,11,KC,Chiefs,24.1,70.5,24.0,24.5,22.0,2026-08-11
2026,12,PHI,Eagles,23.9,66.5,22.5,22.0,22.0,2026-08-11
2026,13,LAC,Chargers,23.8,74.3,25.0,25.8,23.5,2026-08-11
2026,14,NE,Patriots,23.8,68.0,21.5,24.0,22.5,2026-08-11
2026,15,IND,Colts,23.4,73.5,24.5,25.5,23.5,2026-08-11
2026,16,JAX,Jaguars,23.3,70.8,20.3,24.5,26.0,2026-08-11
2026,17,TB,Buccaneers,23.3,70.0,24.5,23.5,22.0,2026-08-11
2026,18,WAS,Commanders,23.3,69.5,25.0,22.0,22.5,2026-08-11
2026,19,HOU,Texans,22.9,62.8,23.3,19.5,20.0,2026-08-11
2026,20,MIN,Vikings,22.5,69.0,22.5,24.5,22.0,2026-08-11
2026,21,DEN,Broncos,22.4,65.5,23.0,22.5,20.0,2026-08-11
2026,22,NYG,Giants,22.1,67.5,23.5,21.5,22.5,2026-08-11
2026,23,NO,Saints,21.6,67.5,21.0,25.0,21.5,2026-08-11
2026,24,PIT,Steelers,21.6,66.0,21.5,22.5,22.0,2026-08-11
2026,25,ATL,Falcons,21.2,66.5,21.5,22.0,23.0,2026-08-11
2026,26,CAR,Panthers,20.7,60.0,22.5,19.0,18.5,2026-08-11
2026,27,TEN,Titans,20.7,64.0,23.0,20.5,20.5,2026-08-11
2026,28,LV,Raiders,19.2,62.5,18.5,22.0,22.0,2026-08-11
2026,29,MIA,Dolphins,19.1,56.3,17.5,18.8,20.0,2026-08-11
2026,30,CLE,Browns,18.9,56.3,18.0,17.3,21.0,2026-08-11
2026,31,NYJ,Jets,18.7,57.5,21.5,17.5,18.5,2026-08-11
2026,32,ARI,Cardinals,18.5,60.0,20.0,19.5,20.5,2026-08-11
