season,week,team,opponent,is_home,spread_line,total_line,implied_total
1999,1,ARI,PHI,0,-3.0,37.0,20.0
1999,1,ATL,MIN,1,-4.0,49.0,22.5
1999,1,BAL,STL,0,0.0,39.0,19.5
1999,1,BUF,IND,0,-3.0,45.5,24.25
1999,1,CAR,NO,0,3.5,38.0,17.25
1999,1,CHI,KC,1,-3.0,38.0,17.5
1999,1,CIN,TEN,0,9.0,42.0,16.5
1999,1,CLE,PIT,1,-6.0,37.0,15.5
1999,1,DAL,WAS,0,2.5,42.0,19.75
1999,1,DEN,MIA,1,6.0,43.0,24.5
1999,1,DET,SEA,0,9.5,42.0,16.25
1999,1,GB,OAK,1,9.0,43.0,26.0
1999,1,IND,BUF,1,-3.0,45.5,21.25
1999,1,JAX,SF,1,5.5,49.0,27.25
1999,1,KC,CHI,0,-3.0,38.0,20.5
1999,1,MIA,DEN,0,6.0,43.0,18.5
1999,1,MIN,ATL,0,-4.0,49.0,26.5
1999,1,NE,NYJ,0,7.0,44.5,18.75
1999,1,NO,CAR,1,3.5,38.0,20.75
1999,1,NYG,TB,0,5.5,37.5,16.0
1999,1,NYJ,NE,1,7.0,44.5,25.75
1999,1,OAK,GB,0,9.0,43.0,17.0
1999,1,PHI,ARI,1,-3.0,37.0,17.0
1999,1,PIT,CLE,0,-6.0,37.0,21.5
1999,1,SEA,DET,1,9.5,42.0,25.75
1999,1,SF,JAX,0,5.5,49.0,21.75
1999,1,STL,BAL,1,0.0,39.0,19.5
1999,1,TB,NYG,1,5.5,37.5,21.5
1999,1,TEN,CIN,1,9.0,42.0,25.5
1999,1,WAS,DAL,1,2.5,42.0,22.25
1999,2,ARI,MIA,0,9.0,41.0,16.0
1999,2,ATL,DAL,0,6.5,42.0,17.75
1999,2,BAL,PIT,1,-2.5,38.0,17.75
1999,2,BUF,NYJ,1,4.0,42.0,23.0
1999,2,CAR,JAX,1,-9.5,44.0,17.25
1999,2,CHI,SEA,1,-3.5,39.0,17.75
1999,2,CIN,SD,1,1.0,40.5,20.75
1999,2,CLE,TEN,0,16.0,40.0,12.0
1999,2,DAL,ATL,1,6.5,42.0,24.25
1999,2,DEN,KC,0,-3.5,40.5,22.0
1999,2,DET,GB,1,-6.5,43.0,18.25
1999,2,GB,DET,0,-6.5,43.0,24.75
1999,2,IND,NE,0,4.5,45.0,20.25
1999,2,JAX,CAR,0,-9.5,44.0,26.75
1999,2,KC,DEN,1,-3.5,40.5,18.5
1999,2,MIA,ARI,1,9.0,41.0,25.0
1999,2,MIN,OAK,1,11.0,47.5,29.25
1999,2,NE,IND,1,4.5,45.0,24.75
1999,2,NO,SF,0,11.0,42.5,15.75
1999,2,NYG,WAS,1,2.5,41.0,21.75
1999,2,NYJ,BUF,0,4.0,42.0,19.0
1999,2,OAK,MIN,0,11.0,47.5,18.25
1999,2,PHI,TB,1,-6.5,36.5,15.0
1999,2,PIT,BAL,0,-2.5,38.0,20.25
1999,2,SD,CIN,0,1.0,40.5,19.75
1999,2,SEA,CHI,0,-3.5,39.0,21.25
1999,2,SF,NO,1,11.0,42.5,26.75
1999,2,TB,PHI,0,-6.5,36.5,21.5
1999,2,TEN,CLE,1,16.0,40.0,28.0
1999,2,WAS,NYG,0,2.5,41.0,19.25
1999,3,ARI,SF,1,-2.5,45.5,21.5
1999,3,ATL,STL,0,-1.5,40.5,21.0
1999,3,BAL,CLE,1,12.0,36.5,24.25
1999,3,BUF,PHI,1,11.5,38.0,24.75
1999,3,CAR,CIN,1,7.0,39.5,23.25
1999,3,CHI,OAK,0,7.0,38.0,15.5
1999,3,CIN,CAR,0,7.0,39.5,16.25
1999,3,CLE,BAL,0,12.0,36.5,12.25
1999,3,DEN,TB,0,2.5,38.0,17.75
1999,3,DET,KC,0,3.5,39.5,18.0
1999,3,GB,MIN,1,0.0,47.5,23.75
1999,3,IND,SD,0,-1.0,44.0,22.5
1999,3,JAX,TEN,1,9.5,45.0,27.25
1999,3,KC,DET,1,3.5,39.5,21.5
1999,3,MIN,GB,0,0.0,47.5,23.75
1999,3,NE,NYG,1,6.0,43.5,24.75
1999,3,NYG,NE,0,6.0,43.5,18.75
1999,3,NYJ,WAS,1,-1.0,43.5,21.25
1999,3,OAK,CHI,1,7.0,38.0,22.5
1999,3,PHI,BUF,0,11.5,38.0,13.25
1999,3,PIT,SEA,1,4.0,38.0,21.0
1999,3,SD,IND,1,-1.0,44.0,21.5
1999,3,SEA,PIT,0,4.0,38.0,17.0
1999,3,SF,ARI,0,-2.5,45.5,24.0
1999,3,STL,ATL,1,-1.5,40.5,19.5
1999,3,TB,DEN,1,2.5,38.0,20.25
1999,3,TEN,JAX,0,9.5,45.0,17.75
1999,3,WAS,NYJ,0,-1.0,43.5,22.25
1999,4,ARI,DAL,0,7.0,42.5,17.75
1999,4,ATL,BAL,1,2.5,36.5,19.5
1999,4,BAL,ATL,0,2.5,36.5,17.0
1999,4,BUF,MIA,0,4.5,40.5,18.0
1999,4,CAR,WAS,0,8.5,45.5,18.5
1999,4,CHI,NO,1,-1.0,37.0,18.0
1999,4,CIN,STL,1,-3.5,44.0,20.25
1999,4,CLE,NE,1,-12.0,38.0,13.0
1999,4,DAL,ARI,1,7.0,42.5,24.75
1999,4,DEN,NYJ,1,5.5,40.0,22.75
1999,4,JAX,PIT,0,-3.0,42.0,22.5
1999,4,KC,SD,0,1.0,38.5,18.75
1999,4,MIA,BUF,1,4.5,40.5,22.5
1999,4,MIN,TB,1,7.0,40.5,23.75
1999,4,NE,CLE,0,-12.0,38.0,25.0
1999,4,NO,CHI,0,-1.0,37.0,19.0
1999,4,NYG,PHI,1,9.5,35.5,22.5
1999,4,NYJ,DEN,0,5.5,40.0,17.25
1999,4,OAK,SEA,0,3.5,40.5,18.5
1999,4,PHI,NYG,0,9.5,35.5,13.0
1999,4,PIT,JAX,1,-3.0,42.0,19.5
1999,4,SD,KC,1,1.0,38.5,19.75
1999,4,SEA,OAK,1,3.5,40.5,22.0
1999,4,SF,TEN,1,1.5,40.5,21.0
1999,4,STL,CIN,0,-3.5,44.0,23.75
1999,4,TB,MIN,0,7.0,40.5,16.75
1999,4,TEN,SF,0,1.5,40.5,19.5
1999,4,WAS,CAR,1,8.5,45.5,27.0
1999,5,ARI,NYG,1,3.0,37.5,20.25
1999,5,ATL,NO,0,3.0,35.5,16.25
1999,5,BAL,TEN,0,7.0,38.5,15.75
