Jahmyr Gibbs|RB|1.1|1.1|0
Bijan Robinson|RB|2|2|0
Ja'Marr Chase|WR|3|3.1|0.1
Puka Nacua|WR|4.2|4.2|0
Jaxon Smith-Njigba|WR|5.5|5.5|0
Christian McCaffrey|RB|6.1|6|-0.1
Amon-Ra St. Brown|WR|7.2|7.1|-0.1
Jonathan Taylor|RB|7.7|7.7|0
CeeDee Lamb|WR|9.8|9.8|0
James Cook|RB|10|10|0
Justin Jefferson|WR|10.9|10.9|0
Saquon Barkley|RB|13.1|13|-0.1
Kenneth Walker III|RB|13.8|13.9|0.1
Chase Brown|RB|14.4|14.3|-0.1
Omarion Hampton|RB|16.3|15.6|-0.7
Ashton Jeanty|RB|16.2|16.1|-0.1
Derrick Henry|RB|16.8|16.6|-0.2
De'Von Achane|RB|16.7|17.3|0.6
A.J. Brown|WR|18.4|18.5|0.1
Brock Bowers|TE|20.1|20|-0.1
Malik Nabers|WR|22.6|21.9|-0.7
Nico Collins|WR|21.9|21.9|0
Drake London|WR|21.7|22.7|1
George Pickens|WR|23.6|23.5|-0.1
Chris Olave|WR|26.2|27.2|1
Rashee Rice|WR|27.1|27.5|0.4
DeVonta Smith|WR|27.7|27.9|0.2
Jeremiyah Love|RB|29.8|28.2|-1.6
Trey McBride|TE|28.9|29.6|0.7
Breece Hall|RB|32|30.2|-1.8
Kyren Williams|RB|29.9|31.2|1.3
Zay Flowers|WR|31.1|31.4|0.3
Javonte Williams|RB|33.5|33.4|-0.1
Ladd McConkey|WR|33.3|33.6|0.3
Tee Higgins|WR|35|35.1|0.1
Emeka Egbuka|WR|35.9|35.5|-0.4
Jaylen Waddle|WR|37.4|36.6|-0.8
Josh Allen|QB|36.7|37.5|0.8
Garrett Wilson|WR|39.1|38.9|-0.2
Travis Etienne Jr.|RB|39.9|40.3|0.4
Tetairoa McMillan|WR|40.7|40.6|-0.1
Colston Loveland|TE|44|43.2|-0.8
Luther Burden|WR|45.4|44|-1.4
D'Andre Swift|RB|44.2|44.2|0
Cam Skattebo|RB|46.7|46|-0.7
Josh Jacobs|RB|41.8|46.3|4.5
David Montgomery|RB|47.1|47.4|0.3
Terry McLaurin|WR|48.6|49.3|0.7
Bhayshul Tuten|RB|49.7|49.7|0
Jameson Williams|WR|50.8|49.9|-0.9
Davante Adams|WR|52.2|51.5|-0.7
Bucky Irving|RB|54.2|52.1|-2.1
D.J. Moore|WR|52.6|52.8|0.2
Mike Evans|WR|50.6|53.1|2.5
Quinshon Judkins|RB|54.3|54.8|0.5
Parker Washington|WR|57.2|55.3|-1.9
Christian Watson|WR|57|57|0
Lamar Jackson|QB|56.3|57.4|1.1
Rome Odunze|WR|58.4|58|-0.4
Jadarian Price|RB|60.2|59.1|-1.1
TreVeyon Henderson|RB|59.8|60.7|0.9
Carnell Tate|WR|62.7|62.8|0.1
Tyler Warren|TE|63.2|63.2|0
Brian Thomas|WR|64.5|65.4|0.9
Marvin Harrison|WR|66.5|66.1|-0.4
Drake Maye|QB|66.8|67.2|0.4
Rhamondre Stevenson|RB|69.4|67.3|-2.1
Joe Burrow|QB|68.1|68.7|0.6
Jaylen Warren|RB|70|69.9|-0.1
Jayden Daniels|QB|69.1|70.6|1.5
Quentin Johnston|WR|75.6|72.4|-3.2
Jalen Hurts|QB|72.1|72.7|0.6
Caleb Williams|QB|73.3|73.8|0.5
DK Metcalf|WR|73.9|75|1.1
Jonathon Brooks|RB|76.1|75.7|-0.4
Tucker Kraft|TE|77.4|77.1|-0.3
Tony Pollard|RB|77.6|78|0.4
Jayden Reed|WR|78.3|78.1|-0.2
Dak Prescott|QB|80.1|80.5|0.4
